名前,生年,出生,鯖江うまれ,関係園_原表記,関係園_推定正式名,slug,pref,国内外,方向,関係,要確認,層,層の理由,原文
ラミー,2002,,0,富山,富山市ファミリーパーク,toyama,富山県,JP,所在(明示なし),,0,参考,家系図にしか ない,富山 / ラミー / 2002うまれ
アジサイ,2006,,0,長野,長野市茶臼山動物園,nagano,長野県,JP,所在(明示なし),,0,参考,家系図にしか ない,長野 / ２００６うまれ / アジサイ
ライライ,2008,鯖江市西山動物園,1,富士,富士サファリパーク,fuji,静岡県,JP,転出,貸出,1,除外,教師では 来来2008 → 東武動物公園 (埼玉県)。「富士」は 取り違え,( / 鯖江うまれ / 富士へ貸出 / ライライ / 2008うまれ
ノン,2009,,0,長野,長野市茶臼山動物園,nagano,長野県,JP,所在(明示なし),,0,参考,家系図にしか ない,ノン / 長野 / 2009うまれ
チャオ,2006,鯖江市西山動物園,1,長野,長野市茶臼山動物園,nagano,長野県,JP,所在(明示なし),,0,確定,名前+生年が 教師と 一致,チャオ / 2006うまれ / ( / 鯖江うまれ / 長野
タラ,1995,,0,メキシコ,メキシコ,mexico,,OV,転出,,0,参考,家系図にしか ない,タラ / 1995うまれ / メキシコへ
マリモ,1995,,0,姫路,姫路市立動物園,himeji,兵庫県,JP,転出,貸出,0,確定,名前+生年が 教師と 一致,マリモ / 1995うまれ / 姫路へ / 貸出
イクラ,1996,,0,福岡,福岡市動物園,fukuoka,福岡県,JP,転出,貸出,0,参考,家系図にしか ない,イクラ / 1996うまれ / 福岡へ / 貸出
淡淡,1998,,0,多摩,多摩動物公園,tama,東京都,JP,所在(明示なし),,0,参考,家系図にしか ない,淡淡 / 1998うまれ / 多摩
クロ,1997,,0,釧路,釧路市動物園,kushiro,北海道,JP,所在(明示なし),,0,参考,家系図にしか ない,釧路 / クロ / 1997うまれ
チャ,1997,,0,浜松,浜松市動物園,hamamatsu,静岡県,JP,所在(明示なし),,0,参考,家系図にしか ない,浜松 / チャ / 1997うまれ
京京,1995,,0,岡山,池田動物園,okayama,岡山県,JP,所在(明示なし),,1,参考,家系図にしか ない,京京 / 1995うまれ / 岡山
花花,1999,,0,多摩,多摩動物公園,tama,東京都,JP,所在(明示なし),,0,参考,家系図にしか ない,花花 / １９９９うまれ / 多摩
リンリン,1999,,0,愛媛,愛媛県立とべ動物園,ehime,愛媛県,JP,所在(明示なし),,0,参考,家系図にしか ない,リンリン / 愛媛 / １９９９うまれ
金牛,1992,,0,南紀白浜,アドベンチャーワールド,shirahama,和歌山県,JP,所在(明示なし),,0,参考,家系図にしか ない,金牛 / 1992うまれ / 南紀白浜
,1997,,0,南紀白浜,アドベンチャーワールド,shirahama,和歌山県,JP,所在(明示なし),,0,除外,名前が 空,1997うまれ / 南紀白浜
シュウシュウ,1999,,0,旭川,旭川市旭山動物園,asahikawa,北海道,JP,所在(明示なし),,0,参考,家系図にしか ない,1999うまれ / 旭川 / シュウシュウ
メイメイ,1999,,0,釧路,釧路市動物園,kushiro,北海道,JP,所在(明示なし),,0,参考,家系図にしか ない,釧路 / 1999うまれ / メイメイ
,2000,,0,カナダ,カナダ,canada,,OV,所在(明示なし),,0,除外,名前が 空,カナダ / 名前なし / 2000うまれ
娘娘,2001,,0,市川,市川市動植物園,ichikawa,千葉県,JP,所在(明示なし),,0,参考,家系図にしか ない,市川 / 娘娘 / 2001うまれ
コウセイ,2000,鯖江市西山動物園,1,横浜,横浜市立よこはま動物園,yokohama,神奈川県,JP,転出,貸出,1,確定,名前+生年が 教師と 一致,鯖江うまれ / 2000うまれ / 横浜へ貸出 / コウセイ
マグロ,2002,,0,さいたま,埼玉県こども動物自然公園,saitama,埼玉県,JP,所在(明示なし),,1,除外,園名の 推定が 誤り。教師で 裏が 取れない,2002うまれ / マグロ / さいたま
カツオ,2002,,0,川崎,川崎市夢見ヶ崎動物公園,kawasaki,神奈川県,JP,所在(明示なし),,0,参考,家系図にしか ない,カツオ / 川崎 / 2002うまれ
シーンファ,2002,,0,市川,市川市動植物園,ichikawa,千葉県,JP,所在(明示なし),,0,参考,家系図にしか ない,シーンファ / 市川 / 2002うまれ
コンタ,2004,,0,仙台,仙台市八木山動物公園フジサキの杜,sendai,宮城県,JP,所在(明示なし),,0,参考,家系図にしか ない,コンタ / 仙台 / 2004うまれ
リク,1999,,0,仙台,仙台市八木山動物公園フジサキの杜,sendai,宮城県,JP,所在(明示なし),,0,参考,家系図にしか ない,リク / 1999うまれ / 仙台
風子,1997,,0,佐世保,佐世保（施設名要確認）,sasebo,長崎県,JP,所在(明示なし),,1,参考,家系図にしか ない,佐世保 / 風子 / 1997うまれ
アーニャ,1998,,0,静岡,静岡市立日本平動物園,shizuoka,静岡県,JP,転出,貸出,1,参考,家系図にしか ない,アーニャ / 1998うまれ / 貸出 / 静岡へ
ノン,1996,,0,山口,秋吉台自然動物公園サファリランド,akiyoshidai,山口県,JP,転出,貸出,1,参考,家系図にしか ない,ノン / 1996うまれ / 山口へ / 貸出
アーヤ,1998,,0,静岡,静岡市立日本平動物園,shizuoka,静岡県,JP,所在(明示なし),,1,参考,家系図にしか ない,アーヤ / 1998うまれ / 静岡
ミク,1999,,0,さいたま,埼玉県こども動物自然公園,saitama,埼玉県,JP,所在(明示なし),,1,除外,園名の 推定が 誤り。教師で 裏が 取れない,ミク / 1999うまれ / さいたま
,2000,,0,羽村,羽村市動物公園,hamura,東京都,JP,転出,貸出,0,除外,名前が 空,羽村に / 2000うまれ / 貸出
ノゾム,2012,,0,福岡,福岡市動物園,fukuoka,福岡県,JP,転出,貸出,0,参考,家系図にしか ない,福岡へ / 貸出 / 2012うまれ / ノゾム
ネネ,2012,,0,長野,長野市茶臼山動物園,nagano,長野県,JP,所在(明示なし),,0,参考,家系図にしか ない,2012うまれ / ネネ / 長野
ポポ,2014,,0,ナイジェリア,ナイジェリア（要確認）,nigeria,,OV,所在(明示なし),,1,除外,施設として 妥当と 言えない,ポポ / 2014うまれ / ナイジェリア
ジャジャ,2014,,0,姫セン,姫路セントラルパーク,himecen,兵庫県,JP,所在(明示なし),,0,参考,家系図にしか ない,姫セン / ジャジャ / 2014うまれ
ヒビキ,2015,,0,長野,長野市茶臼山動物園,nagano,長野県,JP,所在(明示なし),,0,参考,家系図にしか ない,長野 / ヒビキ / 2015うまれ
ヒカル,2015,,0,長野,長野市茶臼山動物園,nagano,長野県,JP,所在(明示なし),,0,参考,家系図にしか ない,ヒカル / ２０１5うまれ / 長野
スバル,2010,,0,平川,鹿児島市平川動物公園,hirakawa,鹿児島県,JP,転出,貸出,0,参考,家系図にしか ない,平川へ / スバル / 2010うまれ / 貸出
シンゲン,2011,,0,釧路,釧路市動物園,kushiro,北海道,JP,所在(明示なし),,0,参考,家系図にしか ない,シンゲン / 2011うまれ / 釧路
ケンシン,2012,,0,秋田,秋田市大森山動物園,akita,秋田県,JP,転出,貸出,0,参考,家系図にしか ない,秋田へ / 2012うまれ / ケンシン / 貸出
サチ,2012,,0,カナダ,カナダ,canada,,OV,所在(明示なし),,0,参考,家系図にしか ない,2012うまれ / カナダ / サチ
キラ,2014,,0,広島,広島市安佐動物公園,hiroshima,広島県,JP,転出,貸出,0,除外,ノイズ混入 (凡例の 化け token が 食い込んでいる),"~ / O辴 / O敏睼e / 舤瞀 / O剩琀 / 剼O / 坺O / 劬O / 匰O / 匨O敏睼, / 叔O / 和O( / 坺O( / 瞀X / 厜O剩琀 / 疪癤 / ２０１４うまれ / 広島へ / 貸出 / キラ / F"
風美,2007,,0,平川,鹿児島市平川動物公園,hirakawa,鹿児島県,JP,所在(明示なし),,0,参考,家系図にしか ない,平川 / 風美 / 2007うまれ
ソラ,2014,,0,羽村,羽村市動物公園,hamura,東京都,JP,所在(明示なし),,0,除外,ノイズ混入 (凡例の 化け token が 食い込んでいる),~ / O辴 / O敏睼e / 舤瞀 / O剩琀 / ソラ / 剼O / 坺O / 劬O / 匰O / 匨O敏睼^ / 叔O / 和O( / 坺O( / 厜O剩琀 / 疪癤 / ２０１４うまれ / 羽村 / F
ハオ,2005,,0,市川,市川市動植物園,ichikawa,千葉県,JP,所在(明示なし),,0,参考,家系図にしか ない,市川 / ハオ / 2005うまれ
ルル,2008,,0,三島,三島市立公園楽寿園,mishima,静岡県,JP,所在(明示なし),,1,参考,家系図にしか ない,三島 / ２００８うまれ / ルル
レン,2008,,0,大牟田,大牟田市動物園,omuta,福岡県,JP,転出,貸出,0,参考,家系図にしか ない,レン / 2008うまれ / 貸出 / 大牟田へ
まい,2013,,0,大牟田,大牟田市動物園,omuta,福岡県,JP,所在(明示なし),,0,参考,家系図にしか ない,まい / ２０１３うまれ / 大牟田
メイファ,2006,,0,市川,市川市動植物園,ichikawa,千葉県,JP,所在(明示なし),,0,参考,家系図にしか ない,メイファ / 市川 / ２００６うまれ
ガイア,2004,,0,神戸,神戸市立王子動物園,kobe,兵庫県,JP,所在(明示なし),,0,参考,家系図にしか ない,ガイア / 神戸 / ２００４うまれ
ミンファ,2006,市川市動植物園,0,,,,,,,,0,確定,名前+生年が 教師と 一致,ミンファ / 市川うまれ / 2006うまれ
レイ,2018,,0,大牟田,大牟田市動物園,omuta,福岡県,JP,所在(明示なし),,0,参考,家系図にしか ない,レイ / ２０１８うまれ5 / 大牟田
ジャズ,2017,,0,神戸,神戸市立王子動物園,kobe,兵庫県,JP,所在(明示なし),,0,参考,家系図にしか ない,ジャズ / ２０１７うまれ / 神戸
メロディ,2017,,0,平川,鹿児島市平川動物公園,hirakawa,鹿児島県,JP,所在(明示なし),,0,参考,家系図にしか ない,平川 / メロディ / 2017うまれ
キララ,2002,鯖江市西山動物園,1,枚方,ひらかたパーク,hirakata,大阪府,JP,転出,交換,1,確定,名前+生年が 教師と 一致,鯖江うまれ / 2002うまれ / 枚方へ交換 / キララ
シュララ,2007,鯖江市西山動物園,1,仙台,仙台市八木山動物公園フジサキの杜,sendai,宮城県,JP,転出,貸出,0,確定,名前+生年が 教師と 一致,シュララ / 2007うまれ / 鯖江うまれ / 仙台へ貸出
チャタ,2002,鯖江市西山動物園,1,,,,,,,,0,確定,名前+生年が 教師と 一致,チャタ / 2002うまれ / 鯖江うまれ
ヤンヤン,2010,鯖江市西山動物園,1,,,,,,,,0,確定,名前+生年が 教師と 一致,ヤンヤン / 鯖江うまれ / 2010うまれ
キラリ,2011,,0,姫セン,姫路セントラルパーク,himecen,兵庫県,JP,転入,交換,0,確定,名前+生年が 教師と 一致,キラリ / ２０１１うまれ / 姫センから / 交換
シンシン,2010,鯖江市西山動物園,1,南紀白浜,アドベンチャーワールド,shirahama,和歌山県,JP,転出,貸出,0,確定,名前+生年が 教師と 一致,2010うまれ / シンシン / 鯖江うまれ / 南紀白浜へ貸出
ライラ,2010,,0,南紀白浜,アドベンチャーワールド,shirahama,和歌山県,JP,所在(明示なし),,0,参考,家系図にしか ない,ライラ / ２０１０うまれ / 南紀白浜
ライト,2013,鯖江市西山動物園,1,,,,,,,,0,確定,名前+生年が 教師と 一致,鯖江うまれ / ライト / 2013うまれ
ひかり,2013,鯖江市西山動物園,1,,,,,,,,0,確定,名前+生年が 教師と 一致,ひかり / 2013うまれ / 鯖江うまれ
モッチー,2015,鯖江市西山動物園,1,,,,,,,,0,確定,名前+生年が 教師と 一致,2015うまれ / モッチー / 鯖江うまれ
まつば,2014,,0,日本平,静岡市立日本平動物園,shizuoka,静岡県,JP,転入,借受,1,確定,名前+生年が 教師と 一致,借受 / まつば / 2014うまれ / 日本平から
咲弥,2015,鯖江市西山動物園,1,天王寺,天王寺動物園,tennoji,大阪府,JP,転出,貸出,1,確定,名前+生年が 教師と 一致,咲弥 / 2015うまれ / 天王寺へ貸出 / 鯖江うまれ
めいしゃん,2017,鯖江市西山動物園,1,,,,,,,,0,参考,家系図にしか ない,鯖江うまれ / めいしゃん / 2017うまれ / シャボテン交換
アン,2010,,0,川崎,川崎市夢見ヶ崎動物公園,kawasaki,神奈川県,JP,所在(明示なし),,0,参考,家系図にしか ない,２０１0うまれ / アン / 川崎
ファファ,2010,鯖江市西山動物園,1,,,,,,,,0,確定,名前+生年が 教師と 一致,( / へ貸出 / 鯖江うまれ / 201０うまれ / ファファ
ミンミン,2010,鯖江市西山動物園,1,徳島,とくしま動物園,tokushima,徳島県,JP,転出,貸出,0,確定,名前+生年が 教師と 一致,ミンミン / ( / 徳島へ貸出 / 2010うまれ / 鯖江うまれ
ソラ,2008,,0,徳島,とくしま動物園,tokushima,徳島県,JP,所在(明示なし),,0,参考,家系図にしか ない,２００８うまれ / ソラ / 徳島
チャーミン,2011,鯖江市西山動物園,1,旭川,旭川市旭山動物園,asahikawa,北海道,JP,転出,貸出,0,確定,名前+生年が 教師と 一致,旭川へ貸出 / ( / 鯖江うまれ / 2011うまれ / チャーミン
渝渝,2011,,0,旭川,旭川市旭山動物園,asahikawa,北海道,JP,所在(明示なし),,0,参考,家系図にしか ない,渝渝 / ２０１1うまれ / 旭川
ソウソウ,2012,鯖江市西山動物園,1,さいたま,埼玉県こども動物自然公園,saitama,埼玉県,JP,転出,譲渡,1,確定,名前+生年が 教師と 一致,( / さいたまへ譲渡 / 鯖江うまれ / 2012うまれ / ソウソウ
ミルキー,2013,鯖江市西山動物園,1,韓国,韓国,korea,,OV,所在(明示なし),,0,除外,教師では アドベンチャーワールド。「韓国」と 矛盾,鯖江うまれ / 韓国 / 2013うまれ / ミルキー
たいよう,2013,,0,岡山,池田動物園,okayama,岡山県,JP,転入,譲受,1,確定,名前+生年が 教師と 一致,岡山から / 譲受 / たいよう / 2013うまれ
ティアラ,2015,,0,,,,,,,,0,確定,名前+生年が 教師と 一致,ティアラ / ２０１５うまれ
ムータン,2014,,0,京都,京都市動物園,kyoto,京都府,JP,所在(明示なし),,0,確定,名前+生年が 教師と 一致,ムータン / ２０１４うまれ / 京都
ギンガ,2013,,0,大島公園,東京都立大島公園動物園,oshima,東京都,JP,転出,貸出,0,参考,家系図にしか ない,貸出 / 2013うまれ / ギンガ / 大島公園へ
カリン,2012,,0,東武,東武動物公園,tobu,埼玉県,JP,所在(明示なし),,0,参考,家系図にしか ない,2012うまれ / カリン / 東武
ケンタ,2015,,0,姫セン,姫路セントラルパーク,himecen,兵庫県,JP,所在(明示なし),,0,参考,家系図にしか ない,ケンタ / 2015うまれ / 姫セン
ケイコ,2015,,0,川崎,川崎市夢見ヶ崎動物公園,kawasaki,神奈川県,JP,所在(明示なし),,0,参考,家系図にしか ない,川崎 / ケイコ / ２０１５うまれ
コジロウ,2012,,0,大島公園,東京都立大島公園動物園,oshima,東京都,JP,所在(明示なし),,0,参考,家系図にしか ない,２０１２うまれ / 大島公園 / コジロウ
しらたま,2013,,0,福知山,福知山市動物園,fukuchiyama,京都府,JP,転出,貸出し,0,参考,家系図にしか ない,2013うまれ / 貸出 / しらたま / 福知山へ
キャラ,2013,,0,福知山,福知山市動物園,fukuchiyama,京都府,JP,転出,貸出,0,参考,家系図にしか ない,貸出 / 福知山へ / キャラ / 2013うまれ
みたらし,2013,,0,のいち,高知県立のいち動物公園,noichi,高知県,JP,所在(明示なし),,0,参考,家系図にしか ない,2013うまれ / みたらし / のいち
あんこ,2014,,0,徳島,とくしま動物園,tokushima,徳島県,JP,所在(明示なし),,0,参考,家系図にしか ない,あんこ / 2014うまれ / 徳島
きなこ,2014,,0,池田,池田動物園,okayama,岡山県,JP,転出,貸出,1,参考,家系図にしか ない,貸出 / きなこ / 池田へ / 2014うまれ
よもぎ,2015,,0,シャボテン,伊豆シャボテン動物公園,shaboten,静岡県,JP,所在(明示なし),,0,参考,家系図にしか ない,よもぎ / ２０１５うまれ / シャボテン
さくら,2015,,0,沖縄,沖縄こどもの国,okinawa,沖縄県,JP,所在(明示なし),,1,参考,家系図にしか ない,さくら / ２０１５うまれ / 沖縄
縞縞,2015,,0,豊橋,豊橋総合動植物公園,toyohashi,愛知県,JP,所在(明示なし),,0,参考,家系図にしか ない,豊橋 / 縞縞 / ２０１５うまれ
雷雷,2016,,0,秋吉台,秋吉台自然動物公園サファリランド,akiyoshidai,山口県,JP,転出,貸出,1,参考,家系図にしか ない,貸出 / 雷雷 / 秋吉台へ / 2016うまれ
雲雲,2016,,0,南紀白浜,アドベンチャーワールド,shirahama,和歌山県,JP,転出,貸出,0,参考,家系図にしか ない,雲雲 / ( / 南紀白浜へ / 貸出 / 201６月うまれ
守守,2017,,0,日本平,静岡市立日本平動物園,shizuoka,静岡県,JP,所在(明示なし),,1,参考,家系図にしか ない,201７うまれ / 日本平 / 守守
糸糸,2017,,0,京都,京都市動物園,kyoto,京都府,JP,所在(明示なし),,0,参考,家系図にしか ない,201７うまれ / 京都 / 糸糸
桃桃,2018,,0,桐生,桐生が岡動物園,kiryu,群馬県,JP,所在(明示なし),,0,参考,家系図にしか ない,桃桃 / ２０１８うまれ / 桐生
梨梨,2018,,0,羽村,羽村市動物公園,hamura,東京都,JP,転出,貸出,0,参考,家系図にしか ない,梨梨 / ２０１８うまれ / 羽村へ / 貸出
かのこ,2016,多摩動物公園,0,,,,,,,,0,確定,名前+生年が 教師と 一致,かのこ / 多摩うまれ / ２０１６うまれ / 交換
令花,2019,鯖江市西山動物園,1,秋田,秋田市大森山動物園,akita,秋田県,JP,転出,貸出,0,参考,家系図にしか ない,鯖江うまれ / 令花 / 秋田へ貸出 / 2019うまれ
ニーコ,2019,鯖江市西山動物園,1,浜松,浜松市動物園,hamamatsu,静岡県,JP,所在(明示なし),,0,確定,名前+生年が 教師と 一致,浜松 / 2019うまれ / ニーコ / 鯖江うまれ
アスナロ,2016,,0,釧路,釧路市動物園,kushiro,北海道,JP,所在(明示なし),,0,参考,家系図にしか ない,アスナロ / ２０１６うまれ / 釧路
アシタバ,2016,,0,到津,到津の森公園,itozu,福岡県,JP,転出,貸出,0,参考,家系図にしか ない,アシタバ / ２０１６うまれ / 到津へ / 貸出
ツバキ,2017,,0,天王寺,天王寺動物園,tennoji,大阪府,JP,転出,貸出,1,参考,家系図にしか ない,ツバキ / ２０１７うまれ / 天王寺へ / 貸出
ツツジ,2017,,0,大島公園,東京都立大島公園動物園,oshima,東京都,JP,所在(明示なし),,0,参考,家系図にしか ない,２０１７うまれ / 大島公園 / ツツジ
,2016,,0,福知山,福知山市動物園,fukuchiyama,京都府,JP,転出,貸出,0,除外,名前が 空,２０１６うまれ / 福知山へ / 貸出
,2016,,0,福知山,福知山市動物園,fukuchiyama,京都府,JP,所在(明示なし),,0,除外,名前が 空,２０１６うまれ / 福知山
マルル,2014,,0,南紀白浜,アドベンチャーワールド,shirahama,和歌山県,JP,所在(明示なし),,0,参考,家系図にしか ない,マルル / ２０１４うまれ / 南紀白浜
キララ,2014,,0,浜松,浜松市動物園,hamamatsu,静岡県,JP,転出,貸出,0,除外,生年が 食い違う (教師 2002),貸出 / キララ / ２０１４うまれ / 浜松へ出
ココロ,2015,,0,さいたま,埼玉県こども動物自然公園,saitama,埼玉県,JP,転出,貸出,1,除外,園名の 推定が 誤り。教師で 裏が 取れない,貸出 / ココロ / ２０１５うまれ / さいたまへ
ジン,2016,,0,南紀白浜,アドベンチャーワールド,shirahama,和歌山県,JP,所在(明示なし),,0,参考,家系図にしか ない,ジン / ２０１６うまれ / 南紀白浜
ムギ,2018,,0,長野,長野市茶臼山動物園,nagano,長野県,JP,転出,貸出,0,参考,家系図にしか ない,ムギ / ２０１８うまれ / 長野へ / 貸出
あゆみ,1991,,0,釧路,釧路市動物園,kushiro,北海道,JP,所在(明示なし),,0,参考,家系図にしか ない,あゆみ / 1991うまれ / 釧路
ゆうゆう,1991,,0,岡山,池田動物園,okayama,岡山県,JP,所在(明示なし),,1,参考,家系図にしか ない,ゆうゆう / 1991うまれ / 岡山
宝宝,1994,,0,山口,秋吉台自然動物公園サファリランド,akiyoshidai,山口県,JP,所在(明示なし),,1,参考,家系図にしか ない,宝宝 / 1994うまれ / 山口
ララ,2000,鯖江市西山動物園,1,,,,,,,,0,確定,名前+生年が 教師と 一致,ララ / 2000うまれ / ( / 鯖江うまれ
ゆり,2013,,0,秋田,秋田市大森山動物園,akita,秋田県,JP,所在(明示なし),,0,参考,家系図にしか ない,２０１３うまれ / 秋田 / ゆり
けんた,2016,,0,群馬,群馬サファリパーク,gunma,群馬県,JP,転出,貸出,1,参考,家系図にしか ない,けんた / ２０１６うまれ / 群馬へ / 貸出
小百合,2016,,0,札幌,札幌市円山動物園,sapporo,北海道,JP,所在(明示なし),,1,参考,家系図にしか ない,札幌 / 小百合 / ２０１６うまれ
ひなた,2018,,0,秋田,秋田市大森山動物園,akita,秋田県,JP,所在(明示なし),,0,参考,家系図にしか ない,ひなた / ２０１８うまれ / 秋田
かんた,2018,秋田市大森山動物園,0,,,,,,,,0,確定,名前+生年が 教師と 一致,かんた / ２０１８うまれ / 秋田うまれ
タイヨウ,2013,,0,千葉,千葉市動物公園,chiba,千葉県,JP,所在(明示なし),,0,参考,家系図にしか ない,タイヨウ / ２０１３うまれ / 千葉
アンズ,2013,,0,長野,長野市茶臼山動物園,nagano,長野県,JP,所在(明示なし),,0,参考,家系図にしか ない,アンズ / ２０１３うまれ / 長野
