個体名,性別,生年月日,死亡年月日,年齢,他園移動日,他園移動園館,来園日,来園元園館,父親,母親,ペア1,ペア2,ペア3,性格,特徴,区分,移動先都道府県,来園元都道府県,移動個体の死亡記録,黄色(現飼育),胖胖系世代(創始=1),注記
キララ,メス,2002-06-29,2013-04-23,10,2004-06-04,ひらかたパーク,,,ヒサシ,ララ,,,,慎重,チャタと相性が良い,西山生まれ,大阪府,,○,,5,
純純（シュンシュン）,オス,2001-06-28,2016-12-30,15,2012/1～4まで多摩,東京都多摩動物公園,2004-06-06,ひらかたパーク,,,チャチャ,ララ,,穏やか　おとなしい,体色は黒い部分が多い,他園から来園,東京都,大阪府,○,,,移動日列が文字列「2012/1～4まで多摩」=一時貸出
チャオ,オス,2006-07-06,2023-02-18,16,2009-01-23,長野市茶臼山動物園,,,純純（シュンシュン）,チャチャ,,,,,,西山生まれ,長野県,,○,,,
シュララ,メス,2007-06-23,2016-10-01,9,2010-12-22,仙台市八木山動物公園,,,純純（シュンシュン）,ララ,,,,慎重,体色は黒い部分が多い,西山生まれ,宮城県,,○,,5,
ミンファ,メス,2006-06-23,,,2014-03-10,神戸市立王子動物園,2008-03-21,市川市動植物園,,,チャタ,ガイア（王子）,,マイペース　好奇心旺盛,笹の枝を運んで食べる　身体能力が高い　運動場に生えている草をよく食べる（サラダバー）　子育て上手  2024年の西山動物園推しパン総選挙では2位に選ばれた。,他園から来園,兵庫県,千葉県,記録なし,Y,,王子へ貸出後 鯖江へ戻る(戻り日の列なし)。2026-05-21死亡(市HP)はxlsx未反映
来来（ライライ）,オス,2008-07-01,2022-02-04,13,2011-06-02,東武動物公園,,,純純（シュンシュン）,チャチャ,,,,,,西山生まれ,埼玉県,,○,,,
ヤンヤン,オス,2010-06-24,2021-01-23,10,,,,,純純（シュンシュン）,ララ,キラリ,,,穏やか,たけのこが好き　キラリと相性が良い　シンシンとは双子の兄弟,西山生まれ,,,,,5,
シンシン,オス,2010-06-24,2024-01-24,13,2013-02-28,アドベンチャーワールド,,,純純（シュンシュン）,ララ,,,,,ヤンヤンとは双子の兄弟,西山生まれ,和歌山県,,○,,5,
ファファ,オス,2010-06-28,,,2012-02-18,川崎市夢見ヶ崎動物公園,,,チャタ,ミンファ,,,,穏やか　おとなしい　のんびり,マイペース,西山生まれ,神奈川県,,記録なし,,5,
ミンミン,メス,2010-06-28,2024-04-10,13,2012-04-23,とくしま動物園,,,チャタ,ミンファ,,,,おしとやか,,西山生まれ,徳島県,,○,,5,
チャーミン,オス,2011-07-16,2021-08-22,10,2014-02-03,旭川市旭山動物園,,,チャタ,ミンファ,,,,好奇心旺盛　慎重,大柄な体格。空のペットボトルで遊ぶのが好き,西山生まれ,北海道,,○,,5,
ソウソウ,オス,2012-07-08,2020-12-01,8,2015-03-02,埼玉県こども動物自然公園,,,チャタ,ミンファ,,,,好奇心旺盛,鯖江で2回目の人工哺育で成育,西山生まれ,埼玉県,,○,,5,
キラリ,メス,2011-06-27,2025-07-06,14,,,2013-02-14,姫路セントラルパーク,,,ヤンヤン,,,慎重　マイペース,ベビーフェイス　雪が積もると活発に遊ぶ。子育て上手,他園から来園,,兵庫県,,,,
ミルキー,メス,2013-07-07,,,2020-02-26,アドベンチャーワールド,,,チャタ,ミンファ,たいよう,,,気が強い,ムータンと相性が良い,西山生まれ,和歌山県,,記録なし,,5,
ライト,オス,2013-07-18,,,,,,,ヤンヤン,キラリ,,,,慎重,人参が好き　体色は黒い部分が多い　かのこと相性が良い,西山生まれ,,,,Y,6,
ひかり,メス,2013-07-18,2024-03-10,10,,,,,ヤンヤン,キラリ,たいよう,,,愛嬌がある,りんごを食べる時に手首を曲げて食べる。,西山生まれ,,,,,6,
たいよう,オス,2013-06-15,,,,,2015-02-13,池田動物園,,,ひかり,ミルキー,かのこ,穏やか　くいしんぼう,人参が好き　食べるのが早い　運動神経は鈍い　長い手足　2024年の西山動物園推しパン総選挙では5位に選ばれた。,他園から来園,,岡山県,,Y,,
ムータン,オス,2014-06-19,2024-01-31,9,2021-01-18,長野市茶臼山動物園,2015-06-10,京都市動物園,,,ティアラ,,,気が強い,ティアラと相性が良い,他園から来園,長野県,京都府,○,,,
モッチー,オス,2015-06-24,,,,,,,ヤンヤン,キラリ,,,,おっとり　好戦的　気が強い,ベビーフェイス　幼児体型　人参が嫌い　足裏マーキング　2024年の西山動物園推しパン総選挙では首位に選ばれた。,西山生まれ,,,,Y,6,
咲弥（さくや）,メス,2015-06-24,,,2017-11-20,天王寺動物園,,,ヤンヤン,キラリ,,,,,モッチーと双子として誕生,西山生まれ,大阪府,,記録なし,,6,
ティアラ,メス,2015-07-06,,,2016-03-16,神戸市立王子動物園,,,ガイア（王子）,ミンファ,ムータン,たいよう,,活発、好奇心旺盛　気が強い,運動神経が良い　笹の枝を運んで食べる　ムータンと相性が良い 2024年の西山動物園推しパン総選挙では3位に選ばれた。,他園から来園,兵庫県,,記録なし,Y,,移動列は来園(王子→鯖江)の誤記と判断。list.csv出生地=王子
梅香（めいしゃん）,メス,2017-06-29,,,2020-01-17,伊豆シャボテン動物公園,,,ヤンヤン,キラリ,,,,,,西山生まれ,静岡県,,記録なし,,6,
まつば,メス,2014-07-17,,,,,2018-03-26,静岡市立日本平動物園,,,モッチー,,,マイペース　子煩悩,体色は黒い部分が多い　落葉プールで背泳ぎする　りんごを両手に持って食べる。,他園から来園,,静岡県,,Y,,
かのこ,メス,2016-06-24,,,,,2019-03-19,東京都多摩動物公園,,,たいよう,ライト,,くいしんぼう　慎重,顔の模様の白い部分多い　手足が長い,他園から来園,,東京都,,Y,,
ニーコ,メス,2019-07-12,,,,,,,モッチー,まつば,,,,ほんわか　頑固　マイペース,双子の令花と相性が良い　落葉プールで背泳ぎする,西山生まれ,,,,,7,死亡・移動なしだが黄色(現飼育)でなく list.csv にも無い=状態不明
レイファ（令花）,メス,2019-07-12,,,2025-04-14,秋田市大森山動物園,,,モッチー,まつば,,,,くいしんぼう　慎重　活動的,双子のニーコと相性が良い。りんごを両手に持って食べる。,西山生まれ,秋田県,,記録なし,,7,
ピースケ,オス,2020-06-27,,,2022-01-10,東京都立大島公園,,,たいよう,かのこ,,,,活発　人懐っこい　くいしんぼう,愛嬌がある　スナック菓子のモデルになったことがある。,西山生まれ,東京都,,記録なし,,,
カイト,オス,2022-06-27,,,2024-06-03,東京都多摩動物公園,,,ライト,かのこ,,,,慎重,表情豊か　　東京都多摩動物公園から海外の動物園（インドネシア）に移動した。,西山生まれ,東京都,,記録なし,,7,多摩経由で2024-07 インドネシア Batu Secret Zoo へ(都HP)
かえで,メス,2022-06-27,,,2025-03-03,いしかわ動物園,,,ライト,かのこ,,,,活発、好奇心旺盛,運動神経が良い,西山生まれ,石川県,,記録なし,,7,
かんた,オス,2018-07-12,,,,,2022-11-10,秋田市大森山動物園,,,アケビ,,,穏やか　くいしんぼう　愛嬌がある,人参が好き　なんでもよく食べる 2024年の西山動物園推しパン総選挙では4位に選ばれた。,他園から来園,,秋田県,,Y,,
アケビ,メス,2020-06-29,,,,,2026-01-28,八木山動物公園フジサキの杜（仙台市八木山動物公園）,,,かんた,,,物怖じしない,赤茶の美しい毛並み。はっきりした顔立ち。潤んだ瞳。,他園から来園,,宮城県,,Y,,仙台市八木山動物公園と同一園(改称表記)
